price,superficie,bains,chambres
228000.0,50.0,1,1
750000.0,400.0,3,4
278998.0,134.0,2,4
200000.0,130.0,1,3
140000.0,180.0,2,1
650000.0,122.0,1,2
170000.0,50.0,1,2
1080000.0,450.0,3,4
256000.0,51.0,1,1
360000.0,100.0,2,2
215000.0,56.0,1,1
380000.0,120.0,2,3
157900.0,64.0,1,1
795000.0,400.0,5,9
150000.0,98.0,0,2
495000.0,200.0,4,5
170000.0,93.0,1,2
300000.0,35.0,1,1
380000.0,160.0,2,3
210000.0,140.0,2,3
720000.0,325.0,4,7
1300000.0,380.0,3,8
247000.0,65.0,1,1
388000.0,155.0,2,3
260000.0,47.0,0,1
300500.0,93.0,1,1
850000.0,400.0,2,4
475000.0,148.0,2,3
120000.0,74.0,1,2
165000.0,90.0,1,2
330000.0,70.0,4,3
130000.0,90.0,1,2
980000.0,200.0,2,3
175000.0,65.0,1,1
535000.0,152.0,2,3
185000.0,85.0,1,2
430000.0,380.0,1,1
1050000.0,498.0,2,12
850000.0,500.0,4,4
420000.0,165.0,3,3
110000.0,52.38,1,1
1100000.0,150.0,1,4
239998.0,104.0,1,2
114998.0,110.0,1,1
340000.0,145.0,3,3
160000.0,96.0,1,2
650000.0,400.0,1,3
430000.0,467.0,2,3
80000.0,60.0,1,3
440000.0,130.0,1,2
350000.0,93.0,1,2
220000.0,100.0,1,3
285600.0,68.0,1,1
650000.0,303.0,5,9
350000.0,153.0,1,3
277000.0,68.0,1,1
226000.0,73.0,0,1
345000.0,100.0,0,4
115000.0,140.0,0,3
594000.0,424.0,2,3
210000.0,300.0,1,3
250000.0,68.0,1,1
440300.0,119.0,2,3
220000.0,85.0,1,2
165000.0,100.0,1,2
260000.0,130.0,1,2
185000.0,85.0,1,2
410000.0,137.0,1,3
140000.0,85.0,1,2
450999.0,156.0,2,3
160000.0,100.0,2,2
1150000.0,200.0,1,4
540000.0,141.0,2,3
240000.0,75.0,2,2
200000.0,150.0,1,1
120000.0,70.0,1,2
200000.0,56.0,0,1
350000.0,120.0,3,6
360000.0,200.0,2,3
160000.0,90.0,0,3
235000.0,130.0,1,2
265000.0,64.0,1,1
336000.0,80.0,1,1
200000.0,86.0,1,2
180000.0,120.0,1,2
105000.0,90.0,0,3
350000.0,100.0,1,2
230000.0,97.0,1,2
155000.0,100.0,1,3
280000.0,131.0,2,4
799999.0,413.0,1,5
178000.0,85.0,1,2
250000.0,100.0,0,2
258500.0,68.0,1,1
280000.0,70.0,1,1
260000.0,52.0,1,1
260000.0,101.0,0,2
250000.0,110.0,0,2
70000.0,75.0,1,2
130000.0,92.0,1,3
400000.0,269.0,1,3
170000.0,85.0,1,2
95000.0,150.0,1,2
92000.0,75.0,1,2
150000.0,110.0,2,4
270000.0,110.0,1,2
310000.0,130.0,2,3
373000.0,140.0,2,3
340000.0,133.0,3,3
160000.0,75.0,1,2
329997.0,200.0,1,3
620000.0,140.0,2,3
330000.0,200.0,1,3
450000.0,280.0,3,3
550000.0,290.0,1,2
920000.0,415.0,5,9
900000.0,320.0,2,4
600000.0,200.0,3,3
415000.0,160.0,2,3
430000.0,150.0,2,3
500000.0,150.0,1,2
560000.0,153.0,2,3
317000.0,57.0,1,1
370000.0,170.0,1,4
280000.0,80.0,1,1
256000.0,51.0,1,1
269000.0,58.0,1,1
650000.0,400.0,1,3
160000.0,96.0,1,2
590000.0,217.0,2,2
139000.0,126.0,1,3
240000.0,95.0,1,2
890000.0,260.0,0,5
165000.0,90.0,1,3
349999.0,220.0,1,4
178000.0,85.0,1,2
250000.0,100.0,0,2
258500.0,68.0,1,1
280000.0,70.0,1,1
260000.0,52.0,1,1
260000.0,101.0,0,2
250000.0,110.0,0,2
450000.0,200.0,1,9
170000.0,100.0,2,0
215000.0,106.0,1,1
245000.0,113.0,2,2
200000.0,91.0,1,1
350000.0,120.0,2,3
385000.0,96.0,1,2
350000.0,74.0,0,1
380000.0,130.0,0,2
340000.0,55.0,0,1
350000.0,80.0,0,1
620000.0,120.0,1,2
480000.0,200.0,2,4
650000.0,154.0,0,3
260000.0,90.0,2,4
541000.0,171.0,2,3
180000.0,121.0,1,3
355000.0,122.0,1,1
405000.0,106.0,1,2
247000.0,185.0,1,4
320000.0,114.0,2,3
260000.0,114.0,2,3
400000.0,83.0,1,1
489998.0,130.0,3,3
270000.0,75.0,1,1
330000.0,80.0,1,2
295000.0,115.0,1,2
300000.0,245.0,3,5
350000.0,122.0,2,3
616000.0,137.0,1,2
269999.0,125.0,2,3
120000.0,98.0,1,2
387000.0,162.0,2,3
