price,superficie,chambres,bains,city
850000.0,386.0,5,5.0,tunis
179998.0,100.0,0,1.0,nabeul
110000.0,52.0,2,1.0,nabeul
370000.0,214.0,2,2.0,sousse
175000.0,69.0,2,1.0,sousse
279998.0,116.0,2,1.0,tunis
165000.0,95.0,2,1.0,ben arous
178000.0,150.0,3,1.0,tunis
300000.0,227.0,4,2.0,tunis
460000.0,136.0,3,2.0,ariana
89000.0,70.0,2,1.0,bizerte
265000.0,65.0,1,1.0,nabeul
100000.0,110.0,3,2.0,sousse
250000.0,72.0,1,1.0,nabeul
1350000.0,70.0,1,1.0,ariana
2500000.0,250.0,4,3.0,ariana
800000.0,413.0,6,2.0,ben arous
270000.0,70.0,1,1.0,tunis
210000.0,88.0,2,1.0,ariana
115000.0,63.0,2,1.0,sousse
169000.0,175.0,2,1.0,sousse
200000.0,75.0,2,2.0,medenine
460000.0,120.0,2,1.0,nabeul
315000.0,130.0,2,2.0,nabeul
350000.0,92.0,2,1.0,mahdia
200000.0,140.0,2,1.0,tunis
376758.0,105.47,0,1.0,sousse
205000.0,127.0,3,1.0,tunis
1111000.0,400.0,9,3.0,tunis
150000.0,150.0,2,1.0,sfax
150000.0,110.0,3,2.0,sousse
280000.0,331.0,3,1.0,sfax
201000.0,57.45,1,1.0,tunis
230000.0,160.0,2,1.0,tunis
337000.0,134.0,3,1.0,tunis
1050000.0,400.0,4,3.0,nabeul
170000.0,80.0,0,1.0,sousse
240000.0,150.0,2,1.0,tunis
310000.0,101.0,2,1.0,sousse
85000.0,487.0,3,2.0,nabeul
120000.0,240.0,2,1.0,tunis
800000.0,700.0,8,4.0,ariana
95000.0,122.0,1,1.0,ben arous
180000.0,110.0,2,1.0,nabeul
2700000.0,640.0,9,4.0,nabeul
290000.0,111.0,2,2.0,mahdia
580000.0,230.0,2,2.0,mahdia
130000.0,150.0,2,1.0,monastir
145000.0,64.0,2,1.0,monastir
170000.0,75.0,2,1.0,monastir
180000.0,100.0,2,1.0,monastir
150000.0,100.0,3,1.0,ariana
259000.0,230.0,4,1.0,sousse
530000.0,271.0,3,2.0,sousse
600000.0,385.0,5,2.0,tunis
280000.0,61.0,3,2.0,ariana
750000.0,500.0,4,2.0,nabeul
130000.0,80.0,2,1.0,bizerte
779998.0,400.0,2,2.0,ariana
390000.0,111.0,3,1.0,ariana
400000.0,120.0,3,1.0,ariana
175000.0,120.0,2,2.0,nabeul
130000.0,65.0,3,1.0,ben arous
320000.0,135.0,3,1.0,tunis
340000.0,116.0,2,1.0,nabeul
270000.0,208.0,3,2.0,nabeul
490000.0,200.0,4,2.0,tunis
410000.0,109.0,2,1.0,nabeul
980000.0,110.0,2,1.0,ariana
245000.0,76.0,1,1.0,ariana
530000.0,141.0,3,1.0,nabeul
1200000.0,400.0,4,1.0,nabeul
1050000.0,400.0,4,1.0,nabeul
260000.0,46.0,1,1.0,nabeul
760000.0,185.0,3,1.0,nabeul
510000.0,190.0,3,1.0,nabeul
225000.0,120.0,3,1.0,ariana
750000.0,244.0,5,4.0,ariana
1200000.0,547.0,5,4.0,tunis
460000.0,150.0,3,2.0,ariana
236000.0,60.0,1,1.0,nabeul
90000.0,80.0,2,1.0,tunis
